no,Tgl_Iklan,url,harga_juta,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,judul,deskripsi
23,24/03/21,https://www.rumah123.com/properti/makassar/hos8072526/,1650,Makassar,108,117,4,4,0,0,1,0,2200,SHM,Rumah dekat Mall,"Rumah Dijual Makassar Rumah hanya 5 menit ke Mall Panakukang,Rumah 1 1/2 lantai,Rumah sudah renovasi"
24,24/03/21,https://www.rumah123.com/properti/makassar/hos8072462/,1700,Makassar,228,79,4,3,0,0,1,0,900,SHM,"siap huni, pekarangan luas, pusat kota, dekat panakukang","Rumah Dijual Makassar rumah tinggal dengan pekarangan dan garasi yang luas,4 kamar tidur,3 kamar mandi,siap huni, lengkap pompa air, ac 1 unit, tandon air, kitchen set, kompor tanam Modena, jaringan wifi Indihome"
25,23/03/21,https://www.rumah123.com/properti/makassar/hos8070053/,3880,Makassar,200,204,3,3,1,1,1,1,3500,HGB,Rumah Mewah 2 Lantai Di Kawasan Citraland Celebes Hertasning Makassar,"Type Blizz,Rumah Mewah Citraland Celebes Hertasning Makassar,Hanya 1 Unit,Type Bliss (10x20),LT 200 . LB 204 ,KT 3+1 . KM 3+1 .,Dilengkapi Kolam renang pribadi , Garasi , CarPort dan Backyard,Harga Mulai 3,88M an,taman bermain anak depan unit Bliss dan terletak di cluster Golden Garnet,Unit Ready dan Siap Huni
,Terletak di Cluster Golden Garnet,More Info,Marketing Executive
"
26,23/03/21,https://www.rumah123.com/properti/makassar/hos8066938/,700,Makassar,170,170,4,3,3,3,0,0,1300,SHM,"rumah dan kos 3 kamar, area pettarani, belakang UNM","Rumah Dijual Makassar rumah + kos,rumah 2 lantai,kamar tidur 4 dan 3 kamar mandi,kos 3 kamar, semua kamar mandi dalam
,belakang kantor BPN, UNM GEDUNG PHINISI"
27,23/03/21,https://www.rumah123.com/properti/makassar/hos8066174/,3500,Makassar,216,250,5,4,0,0,0,1,3300,SHM,Rumah Mewah 2 Lantai Second Pusat Kota Makassar dekat Mall Panakkukang,"PERUMAHAN AZALEA PANAKUKANG

RUMAH SECOND CANTIK TENGAH KOTA MAKASSAR
LOKASIH STRATEGIS
2 MENIT KE MALL PANAKUKANG
2 MENIT HOTEL SWISS BELL
3 MENIT JALAN POROS PETTARANI

FULL PRABOT
LUAS 12 18
5 KAMAR TIDUR
4 KAMAR MANDI

HARGA 3,5M NEGO

INFO CEK LOKASI
085233470322
Muhammad Yandi"
28,22/03.2021,https://www.rumah123.com/properti/makassar/hos8063434/,3664,Makassar,252,267,4,3,1,1,0,1,2200,HGB,Rumah Mewah Citraland TALLASA City,Rumah Dijual Makassar
29,22/03.2021,rumah123.com/properti/makassar/hos8063251/,899.2,Makassar,90,55,3,2,0,0,1,0,2200,HGB,Citraland Tallasacity Rumah lantai harga 800 JT an ( Magnolia),Rumah Dijual Makassar
30,22/03.2021,https://www.rumah123.com/properti/makassar/hos8061143/,5500,Makassar,495,200,4,3,1,1,0,1,2200,SHM,Rumah klasik,"Lokasi pusat kota Makassar.
Lokasi dekat Mall Ratu Indah, Perkantoran, Perbankan, kawasan bisnis & kuliner.Rumah 2 lantai
4 + 1 Kamar Tidur
2 Kamar Tidur & 1 Kamar Tidur Art di Lantai 1
2 Kamar Tidur di Lantai 2.
Kamar Utama di Lantai 2,4 Kamar Mandi
2 Kamar Mandi di Lantai 1.
2 Kamar Mandi di Lantai 2. Kamar Utama ada Kamar Mandi dalam kamar."
31,20/03/2021,https://www.rumah123.com/properti/makassar/hos8058867/,535,Makassar,72,70,3,2,0,0,0,0,2200,SHM,Rumah Cluster Dua Lantai Nirwana Galaxy Inn Promo Diskon Besar,"Cluster Mewah Rumah 2 lantai belakang Kantor Polda,PROMO CASH !!!
Tipe 70 uk 6x12 @ 535 jt
3 KT - 2 KM , 2 lantai
Tipe 82 uk 7x12 @ 685 jt
3 KT - 2 KM , 2 lantai
Tipe 95 uk 6x12 @ 680 jt
4 KT - 3 KM , 2 lantai
Tipe 113 uk 7x12 @ 784 jt
4 KT - 3 KM , 2 lantai
"
32,20/03/2021,https://www.rumah123.com/properti/makassar/hos8058186/,858.2,Makassar,105,100,3,2,0,0,1,0,2200,SHM,Rumah 2 Lantai Dalam Cluster Bebas Banjir Posisi Poros Perintis Sudiang,"Tipe Primerose
Luas Bangunan 100 M2
Luas Tanah 105 M2 (7x15)
Kamar Tidur 3
Kamar Mandi 2
Carport dan Dapur,Lokasi Sangat Strategis:
150 Meter dari Indogrosir Sudiang
Dekat ke Bandara Sultan Hasanuddin
Dekat ke Jalan Tol Ir. Sutami KM8.
Dekat ke Asrama Haji
Dekat ke Polda Makassar
"
